feature,importance
Average Packet Size,0.13748979276264678
Bwd Packet Length Max,0.1050900025257416
Total Length of Bwd Packets,0.10406377977060152
Fwd Packet Length Max,0.08318573265882688
Bwd Packet Length Min,0.08200644899787042
Total Length of Fwd Packets,0.0736210126797869
Fwd Packet Length Min,0.061681395087471634
Total Backward Packets,0.047064370073282735
URG Flag Count,0.04141877621536431
Total Fwd Packets,0.04111558280672205
Fwd IAT Total,0.040690468611550526
Flow Packets/s,0.04055328107709027
Flow Bytes/s,0.03697299865826237
Flow Duration,0.03555777533998485
ACK Flag Count,0.020263332784792906
Bwd IAT Total,0.01953279563975723
Idle Mean,0.017892583847696358
Active Mean,0.008361360588277035
Fwd PSH Flags,0.002035269755002253
SYN Flag Count,0.001403240119271464
Bwd PSH Flags,0.0
