duration,source_bytes,destination_bytes,source_port,destination_port,failed_attempts,packet_count,label
10,1200,3400,52341,443,0,45,normal
12,1500,4200,52342,443,0,52,normal
8,1000,3000,52343,80,0,40,normal
15,1800,5000,52344,443,0,60,normal
9,1100,3200,52345,80,0,42,normal
5,500,200,45000,22,3,20,attack
4,450,150,45001,22,5,25,attack
3,400,100,45002,22,8,30,attack
2,300,80,45003,22,10,35,attack
6,600,200,45004,22,6,28,attack
20,2500,7000,52346,443,0,70,normal
11,1300,3500,52347,80,0,48,normal
7,700,180,45005,22,7,32,attack
5,550,120,45006,22,9,34,attack
13,1700,4500,52348,443,0,55,normal
